NN X Y Z
30001307 426783.82874 4206100.04218 608.27095
30001568 427081.40914 4206578.04441 624.99912
40002374 427406.18312 4205861.63731 649.47399
50000819 427420.57370 4205864.44462 649.15626
60004173 426893.78980 4205797.35517 621.83199
60004659 427188.20893 4205604.30893 640.97059
70005268 426847.33212 4205522.82026 625.26205
70005622 427062.34405 4205736.71939 627.32665
80004238 427205.35722 4205768.61278 627.61288
14630813 427107.04690 4206572.19810 619.60090
